

Peak (+) derivative 	1.3865E-5
 Peak (-) derivative 	-2.1817E-5
Frequency (GHz)	ITF	dITF
191700.000000	0.145937	0.000000
191750.000000	0.146216	1.386463E-5
191800.000000	0.147323	2.929552E-6
191850.000000	0.146509	-9.230306E-6
191900.000000	0.146400	-3.630924E-6
191950.000000	0.146146	-7.859601E-6
192000.000000	0.145614	-1.289988E-5
192050.000000	0.144856	-1.519378E-5
192100.000000	0.144095	-1.663882E-5
192150.000000	0.143192	-1.819115E-5
192200.000000	0.142276	-1.975458E-5
192250.000000	0.141217	-2.153005E-5
192300.000000	0.140123	-2.181736E-5
192350.000000	0.139035	-2.160771E-5
192400.000000	0.137962	-2.143869E-5
192450.000000	0.136891	-2.123874E-5
192500.000000	0.135838	-1.952149E-5
192550.000000	0.134939	-1.826697E-5
192600.000000	0.134011	-1.838042E-5
192650.000000	0.133101	-1.891023E-5
192700.000000	0.132120	-1.884401E-5
192750.000000	0.131216	-1.726117E-5
192800.000000	0.130394	-1.641778E-5
192850.000000	0.129575	-1.567347E-5
192900.000000	0.128827	-1.400705E-5
192950.000000	0.128174	-1.303141E-5
193000.000000	0.127524	-1.292369E-5
193050.000000	0.126882	-1.382954E-5
193100.000000	0.126141	-1.555507E-5
193150.000000	0.125326	-1.410884E-5
193200.000000	0.124730	-1.317457E-5
193250.000000	0.124009	-1.302988E-5
193300.000000	0.123427	-1.055299E-5
193350.000000	0.122953	-9.451040E-6
193400.000000	0.122482	-8.357862E-6
193450.000000	0.122118	-6.658643E-6
193500.000000	0.121816	-7.244719E-6
193550.000000	0.121393	-6.506012E-6
193600.000000	0.121165	-5.688207E-6
193650.000000	0.120824	-7.127757E-6
193700.000000	0.120452	-7.737550E-6
193750.000000	0.120051	-7.643434E-6
193800.000000	0.119688	-7.250119E-6
193850.000000	0.119326	-6.936676E-6
193900.000000	0.118994	-7.099370E-6
193950.000000	0.118616	-7.217514E-6
194000.000000	0.118273	-6.814326E-6
194050.000000	0.117934	-5.331397E-6
194100.000000	0.117740	-3.928383E-6
194150.000000	0.117541	-3.901393E-6
194200.000000	0.117349	-2.829325E-6
194250.000000	0.117258	-1.912770E-6
194300.000000	0.117158	-2.883176E-6
194350.000000	0.116970	-4.339341E-6
194400.000000	0.116724	-5.109953E-6
194450.000000	0.116459	-6.065610E-6
194500.000000	0.116118	-6.846808E-6
194550.000000	0.115774	-7.104826E-6
194600.000000	0.115407	-7.645540E-6
194650.000000	0.115010	-7.583946E-6
194700.000000	0.114649	-6.823385E-6
194750.000000	0.114328	-6.980299E-6
194800.000000	0.113951	-6.668903E-6
194850.000000	0.113661	-4.769369E-6
194900.000000	0.113474	-3.892136E-6
194950.000000	0.113271	-3.310557E-6
195000.000000	0.113143	-2.411194E-6
195050.000000	0.113030	-2.565510E-6
195100.000000	0.112886	-3.146409E-6
195150.000000	0.112716	-4.212615E-6
195200.000000	0.112465	-5.977991E-6
195250.000000	0.112118	-6.849707E-6
195300.000000	0.111780	-7.007822E-6
195350.000000	0.111417	-7.348906E-6
195400.000000	0.111045	-7.357521E-6
195450.000000	0.110681	-6.855225E-6
195500.000000	0.110360	-6.457689E-6
195550.000000	0.110036	-6.729178E-6
195600.000000	0.109687	-7.636412E-6
195650.000000	0.109272	-7.521421E-6
195700.000000	0.108935	-6.874131E-6
195750.000000	0.108584	-7.500876E-6
195800.000000	0.108184	-7.559994E-6
195850.000000	0.107828	-8.463719E-6
195900.000000	0.107338	-9.348438E-6
195950.000000	0.106894	-3.910721E-6
196000.000000	0.106947	-1.244940E-5
196050.000000	0.105649	-1.679798E-5
196100.000000	0.105267	0.000000
