FP158-07

Peak (+) derivative 	5.7654E-5
 Peak (-) derivative 	-2.2855E-4
Frequency (GHz)	ITF	dITF
191700.000000	0.430589	0.000000
191750.000000	0.432376	5.765383E-5
191800.000000	0.436354	2.434288E-5
191850.000000	0.434811	-5.436494E-6
191900.000000	0.435810	1.886675E-5
191950.000000	0.436697	8.301988E-6
192000.000000	0.436641	-6.090423E-6
192050.000000	0.436088	-8.707211E-6
192100.000000	0.435770	-5.244008E-6
192150.000000	0.435564	-7.524195E-6
192200.000000	0.435017	-1.690532E-5
192250.000000	0.433873	-2.795266E-5
192300.000000	0.432222	-3.311333E-5
192350.000000	0.430562	-3.382676E-5
192400.000000	0.428839	-4.227879E-5
192450.000000	0.426334	-5.308836E-5
192500.000000	0.423531	-5.187334E-5
192550.000000	0.421147	-4.801396E-5
192600.000000	0.418729	-5.381903E-5
192650.000000	0.415765	-6.218734E-5
192700.000000	0.412510	-6.431168E-5
192750.000000	0.409334	-6.240727E-5
192800.000000	0.406270	-6.649832E-5
192850.000000	0.402684	-7.832463E-5
192900.000000	0.398437	-8.951258E-5
192950.000000	0.393733	-9.537199E-5
193000.000000	0.388900	-0.000104
193050.000000	0.383343	-0.000122
193100.000000	0.376701	-0.000139
193150.000000	0.369462	-0.000145
193200.000000	0.362224	-0.000150
193250.000000	0.354476	-0.000162
193300.000000	0.346037	-0.000173
193350.000000	0.337143	-0.000177
193400.000000	0.328347	-0.000177
193450.000000	0.319465	-0.000183
193500.000000	0.310010	-0.000194
193550.000000	0.300029	-0.000201
193600.000000	0.289901	-0.000204
193650.000000	0.279638	-0.000208
193700.000000	0.269076	-0.000217
193750.000000	0.257945	-0.000225
193800.000000	0.246584	-0.000225
193850.000000	0.235410	-0.000224
193900.000000	0.224147	-0.000227
193950.000000	0.212670	-0.000229
194000.000000	0.201292	-0.000224
194050.000000	0.190240	-0.000217
194100.000000	0.179629	-0.000211
194150.000000	0.169112	-0.000209
194200.000000	0.158722	-0.000204
194250.000000	0.148715	-0.000196
194300.000000	0.139138	-0.000189
194350.000000	0.129797	-0.000186
194400.000000	0.120576	-0.000183
194450.000000	0.111543	-0.000176
194500.000000	0.102975	-0.000168
194550.000000	0.094710	-0.000164
194600.000000	0.086596	-0.000159
194650.000000	0.078808	-0.000151
194700.000000	0.071455	-0.000143
194750.000000	0.064464	-0.000136
194800.000000	0.057818	-0.000129
194850.000000	0.051571	-0.000120
194900.000000	0.045818	-0.000110
194950.000000	0.040601	-0.000100
195000.000000	0.035797	-9.254357E-5
195050.000000	0.031347	-8.483400E-5
195100.000000	0.027314	-7.692107E-5
195150.000000	0.023655	-6.989050E-5
195200.000000	0.020325	-6.328609E-5
195250.000000	0.017326	-5.621979E-5
195300.000000	0.014703	-4.865929E-5
195350.000000	0.012460	-4.077420E-5
195400.000000	0.010625	-3.287564E-5
195450.000000	0.009173	-2.461984E-5
195500.000000	0.008163	-1.607963E-5
195550.000000	0.007565	-8.125010E-6
195600.000000	0.007351	-7.349679E-7
195650.000000	0.007491	6.013018E-6
195700.000000	0.007952	1.237232E-5
195750.000000	0.008729	1.859755E-5
195800.000000	0.009812	2.453170E-5
195850.000000	0.011182	2.995967E-5
195900.000000	0.012808	3.511796E-5
195950.000000	0.014694	3.593677E-5
196000.000000	0.016401	3.939072E-5
196050.000000	0.018633	4.976444E-5
196100.000000	0.021378	0.000000
