

Peak (+) derivative 	1.5831E-4
 Peak (-) derivative 	-1.5029E-4
Frequency (GHz)	ITF	dITF
191700.000000	0.082475	0.000000
191750.000000	0.082516	-5.154996E-7
191800.000000	0.082424	-2.826970E-6
191850.000000	0.082234	-3.038874E-6
191900.000000	0.082120	-2.331002E-6
191950.000000	0.082001	-2.186363E-6
192000.000000	0.081901	-1.838716E-6
192050.000000	0.081817	-1.985897E-6
192100.000000	0.081703	-2.492196E-6
192150.000000	0.081567	-2.512703E-6
192200.000000	0.081451	-2.142692E-6
192250.000000	0.081353	-2.047109E-6
192300.000000	0.081247	-2.353534E-6
192350.000000	0.081118	-2.866834E-6
192400.000000	0.080960	-2.883197E-6
192450.000000	0.080829	-3.101426E-6
192500.000000	0.080650	-3.404363E-6
192550.000000	0.080489	-3.406345E-6
192600.000000	0.080309	-3.722839E-6
192650.000000	0.080117	-4.156013E-6
192700.000000	0.079894	-4.838786E-6
192750.000000	0.079633	-5.176625E-6
192800.000000	0.079376	-4.190373E-6
192850.000000	0.079214	-3.152479E-6
192900.000000	0.079061	-3.090088E-6
192950.000000	0.078905	-3.142326E-6
193000.000000	0.078746	-3.121819E-6
193050.000000	0.078593	-3.046712E-6
193100.000000	0.078442	-3.374798E-6
193150.000000	0.078255	-3.631385E-6
193200.000000	0.078079	-3.772790E-6
193250.000000	0.077878	-3.983060E-6
193300.000000	0.077680	-4.229530E-6
193350.000000	0.077455	-5.064826E-6
193400.000000	0.077174	-5.141456E-6
193450.000000	0.076941	-4.517123E-6
193500.000000	0.076722	-4.864479E-6
193550.000000	0.076454	-5.183657E-6
193600.000000	0.076204	-4.975905E-6
193650.000000	0.075957	-4.881770E-6
193700.000000	0.075716	-4.678515E-6
193750.000000	0.075489	-4.767880E-6
193800.000000	0.075239	-5.419928E-6
193850.000000	0.074947	-5.667475E-6
193900.000000	0.074672	-5.407672E-6
193950.000000	0.074406	-5.877922E-6
194000.000000	0.074084	-7.005645E-6
194050.000000	0.073706	-8.084621E-6
194100.000000	0.073276	-9.597344E-6
194150.000000	0.072746	-1.128718E-5
194200.000000	0.072147	-1.366591E-5
194250.000000	0.071379	-1.745948E-5
194300.000000	0.070401	-2.221757E-5
194350.000000	0.069157	-2.820418E-5
194400.000000	0.067581	-3.685274E-5
194450.000000	0.065472	-4.932970E-5
194500.000000	0.062648	-6.670460E-5
194550.000000	0.058802	-9.001845E-5
194600.000000	0.053646	-0.000117
194650.000000	0.047087	-0.000140
194700.000000	0.039631	-0.000150
194750.000000	0.032058	-0.000144
194800.000000	0.025270	-0.000120
194850.000000	0.020019	-8.303567E-5
194900.000000	0.016967	-3.302195E-5
194950.000000	0.016716	2.466177E-5
195000.000000	0.019433	7.933858E-5
195050.000000	0.024650	0.000122
195100.000000	0.031583	0.000147
195150.000000	0.039394	0.000158
195200.000000	0.047415	0.000158
195250.000000	0.055150	0.000148
195300.000000	0.062199	0.000132
195350.000000	0.068379	0.000114
195400.000000	0.073592	9.464030E-5
195450.000000	0.077843	7.579239E-5
195500.000000	0.081171	5.801039E-5
195550.000000	0.083645	4.174275E-5
195600.000000	0.085345	2.865157E-5
195650.000000	0.086510	1.900185E-5
195700.000000	0.087246	1.126232E-5
195750.000000	0.087636	4.857902E-6
195800.000000	0.087731	5.018549E-7
195850.000000	0.087686	-2.147339E-6
195900.000000	0.087517	-4.045395E-6
195950.000000	0.087282	-3.780327E-6
196000.000000	0.087139	-5.485962E-6
196050.000000	0.086733	-8.627782E-6
196100.000000	0.086276	0.000000
